document_text;document_identifier;order
La presente Ley, de acuerdo con lo previsto en el apartado cuatro del artículo 13 de la Constitución, tiene por objeto establecer los términos en que las personas nacionales de países no comunitarios y las apátridas podrán gozar en España de la protección internacional constituida por el derecho de asilo y la protección subsidiaria, así como el contenido de dicha protección internacional.;BOE2009_Art01;1
El derecho de asilo es la protección dispensada a los nacionales no comunitarios o a los apátridas a quienes se reconozca la condición de refugiado en los términos definidos en el artículo 3 de esta Ley y en la Convención sobre el Estatuto de los Refugiados, hecha en Ginebra el 28 de julio de 1951, y su Protocolo, suscrito en Nueva York el 31 de enero de 1967.;BOE2009_Art02;2
La condición de refugiado se reconoce a toda persona que, debido a fundados temores de ser perseguida por motivos de raza, religión, nacionalidad, opiniones políticas, pertenencia a determinado grupo social, de género u orientación sexual, se encuentra fuera del país de su nacionalidad y no puede o, a causa de dichos temores, no quiere acogerse a la protección de tal país, o al apátrida que, careciendo de nacionalidad y hallándose fuera del país donde antes tuviera su residencia habitual, por los mismos motivos no puede o, a causa de dichos temores, no quiere regresar a él, y no esté incurso en alguna de las causas de exclusión del artículo 8 o de las causas de denegación o revocación del artículo 9.;BOE2009_Art03;3
El derecho a la protección subsidiaria es el dispensado a las personas de otros países y a los apátridas que, sin reunir los requisitos para obtener el asilo o ser reconocidas como refugiadas, pero respecto de las cuales se den motivos fundados para creer que si regresasen a su país de origen en el caso de los nacionales o, al de su anterior residencia habitual en el caso de los apátridas, se enfrentarían a un riesgo real de sufrir alguno de los daños graves previstos en el artículo 10 de esta Ley, y que no pueden o, a causa de dicho riesgo, no quieren, acogerse a la protección del país de que se trate, siempre que no concurra alguno de los supuestos mencionados en los artículos 11 y 12 de esta Ley.;BOE2009_Art04;4
La protección concedida con el derecho de asilo y la protección subsidiaria consiste en la no devolución ni expulsión de las personas a quienes se les haya reconocido, así como en la adopción de las medidas contempladas en el artículo 36 de esta Ley y en las normas que lo desarrollen, en la normativa de la Unión Europea y en los Convenios internacionales ratificados por España.;BOE2009_Art05;5
"1. Los actos en que se basen los fundados temores a ser objeto de persecución en el sentido previsto en el artículo 3 de esta Ley, deberán:
a) ser suficientemente graves por su naturaleza o carácter reiterado como para constituir una violación grave de los derechos fundamentales, en particular los derechos que no puedan ser objeto de excepciones al amparo del apartado segundo del artículo 15 del Convenio Europeo para la Protección de los Derechos Humanos y de las Libertades Fundamentales, o bien
b) ser una acumulación lo suficientemente grave de varias medidas, incluidas las violaciones de derechos humanos, como para afectar a una persona de manera similar a la mencionada en la letra a).
2. Los actos de persecución definidos en el apartado primero podrán revestir, entre otras, las siguientes formas:
a) actos de violencia física o psíquica, incluidos los actos de violencia sexual;
b) medidas legislativas, administrativas, policiales o judiciales que sean discriminatorias en sí mismas o que se apliquen de manera discriminatoria;
c) procesamientos o penas que sean desproporcionados o discriminatorios;
d) denegación de tutela judicial de la que se deriven penas desproporcionadas o discriminatorias;
e) procesamientos o penas por la negativa a prestar servicio militar en un conflicto en el que el cumplimiento de dicho servicio conllevaría delitos o actos comprendidos en las cláusulas de exclusión establecidas en el apartado segundo del artículo 8 de esta Ley;
f) actos de naturaleza sexual que afecten a adultos o a niños.
3. Los actos de persecución definidos en el presente artículo deberán estar relacionados con los motivos mencionados en el artículo siguiente.";BOE2009_Art06;6
"1. Al valorar los motivos de persecución se tendrán en cuenta los siguientes elementos:
a) el concepto de raza comprenderá, en particular, el color, el origen o la pertenencia a un determinado grupo étnico;
b) el concepto de religión comprenderá, en particular, la profesión de creencias teístas, no teístas y ateas, la participación o la abstención de hacerlo, en cultos formales en privado o en público, ya sea individualmente o en comunidad, así como otros actos o expresiones que comporten una opinión de carácter religioso, o formas de conducta personal o comunitaria basadas en cualquier creencia religiosa u ordenadas por ésta;
c) el concepto de nacionalidad no se limitará a poseer o no la ciudadanía, sino que comprenderá, en particular, la pertenencia a un grupo determinado por su identidad cultural, étnica o lingüística, sus orígenes geográficos o políticos comunes o su relación con la población de otro Estado;
d) el concepto de opiniones políticas comprenderá, en particular, la profesión de opiniones, ideas o creencias sobre un asunto relacionado con los agentes potenciales de persecución y con sus políticas o métodos, independientemente de que el solicitante haya o no obrado de acuerdo con tales opiniones, ideas o creencias;
e) se considerará que un grupo constituye un grupo social determinado, si, en particular:
- las personas integrantes de dicho grupo comparten una característica innata o unos antecedentes comunes que no pueden cambiarse, o bien comparten una característica o creencia que resulta tan fundamental para su identidad o conciencia que no se les puede exigir que renuncien a ella, y
- dicho grupo posee una identidad diferenciada en el país de que se trate por ser percibido como diferente por la sociedad que lo rodea o por el agente o agentes perseguidores.
En función de las circunstancias imperantes en el país de origen, se incluye en el concepto de grupo social determinado un grupo basado en una característica común de orientación sexual o identidad sexual, y, o, edad, sin que estos aspectos por sí solos puedan dar lugar a la aplicación del presente artículo. En ningún caso podrá entenderse como orientación sexual, la realización de conductas tipificadas como delito en el ordenamiento jurídico español.
Asimismo, en función de las circunstancias imperantes en el país de origen, se incluye a las personas que huyen de sus países de origen debido a fundados temores de sufrir persecución por motivos de género y, o, edad, sin que estos aspectos por sí solos puedan dar lugar a la aplicación del presente artículo.
2. En la valoración acerca de si la persona solicitante tiene fundados temores a ser perseguida será indiferente el hecho de que posea realmente la característica racial, religiosa, nacional, social o política que suscita la persecución, a condición de que el agente de persecución se la atribuya.";BOE2009_Art07;7
"1. Quedarán excluidas de la condición de refugiados:
a) las personas que estén comprendidas en el ámbito de aplicación de la sección D del artículo 1 de la Convención de Ginebra en lo relativo a la protección o asistencia de un órgano u organismo de las Naciones Unidas distinto del Alto Comisionado de las Naciones Unidas para los Refugiados. Cuando esta protección o asistencia haya cesado por cualquier motivo, sin que la suerte de tales personas se haya solucionado definitivamente con arreglo a las Resoluciones aprobadas sobre el particular por la Asamblea General de las Naciones Unidas, aquéllas tendrán, «ipso facto», derecho a los beneficios del asilo regulado en la presente Ley;
b) las personas a quienes las autoridades competentes del país donde hayan fijado su residencia les hayan reconocido los derechos y obligaciones que son inherentes a la posesión de la nacionalidad de tal país, o derechos y obligaciones equivalentes a ellos.
2. También quedarán excluidas las personas extranjeras sobre las que existan motivos fundados para considerar que:
a) han cometido un delito contra la paz, un delito de guerra o un delito contra la humanidad, de los definidos en los instrumentos internacionales que establecen disposiciones relativas a tales delitos;
b) han cometido fuera del país de refugio antes de ser admitidas como refugiadas, es decir, antes de la expedición de una autorización de residencia basada en el reconocimiento de la condición de refugiado, un delito grave, entendiéndose por tal los que lo sean conforme al Código Penal español y que afecten a la vida, la libertad, la indemnidad o la libertad sexual, la integridad de las personas o el patrimonio, siempre que fuesen realizados con fuerza en las cosas, o violencia o intimidación en las personas, así como en los casos de la delincuencia organizada, debiendo entenderse incluida, en todo caso, en el término delincuencia organizada la recogida en el apartado cuarto del artículo 282 bis de la Ley de Enjuiciamiento Criminal, en relación con los delitos enumerados;
c) son culpables de actos contrarios a las finalidades y a los principios de las Naciones Unidas establecidos en el Preámbulo y en los artículos 1 y 2 de la Carta de las Naciones Unidas.
3. El apartado segundo se aplicará a las personas que inciten a la comisión de los delitos o actos mencionados en él, o bien participen en su comisión.";BOE2009_Art08;8
"En todo caso, el derecho de asilo se denegará a:
a) las personas que constituyan, por razones fundadas, un peligro para la seguridad de España;
b) las personas que, habiendo sido objeto de una condena firme por delito grave constituyan una amenaza para la comunidad.";BOE2009_Art09;9
"Constituyen los daños graves que dan lugar a la protección subsidiaria prevista en el artículo 4 de esta Ley:
a) la condena a pena de muerte o el riesgo de su ejecución material;
b) la tortura y los tratos inhumanos o degradantes en el país de origen del solicitante;
c) las amenazas graves contra la vida o la integridad de los civiles motivadas por una violencia indiscriminada en situaciones de conflicto internacional o interno.";BOE2009_Art10;10
