answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
642370,1173230,583278,"Alojamiento y manutención temporal.
Información y asesoramiento sobre nueva situación.
Orientación para su incorporación al sistema educativo, sanitario y social.
Atención psicológica.
Atención social especializada y gestión de ayudas económicas complementarias.
Desarrollo de cursos para aprendizaje de la lengua y de habilidades sociales básicas.
Orientación e intermediación para la formación profesional e inserción laboral.
Actividades ocupacionales y de ocio y tiempo libre.
Actividades de sensibilización y de divulgación de la actuación del C.A.R",0,554,,¿Que servicios y prestaciones tienen C.A.R?,,"Alojamiento y manutención temporal.
Información y asesoramiento sobre nueva situación.
Orientación para su incorporación al sistema educativo, sanitario y social.
Atención psicológica.
Atención social especializada y gestión de ayudas económicas complementarias.
Desarrollo de cursos para aprendizaje de la lengua y de habilidades sociales básicas.
Orientación e intermediación para la formación profesional e inserción laboral.
Actividades ocupacionales y de ocio y tiempo libre.
Actividades de sensibilización y de divulgación de la actuación del C.A.R. dirigidas a la sociedad de acogida."
642355,1173227,583263,para la acogida y la integración ,38,71,,¿Para que sirven las subvenciones?,,"Las subvenciones concedidas a las ONG para la acogida y la integración de quienes conforman estos colectivos están financiadas con fondos que provienen de los presupuestos de la Secretaría General de Inmigración y Emigración, recibiendo cofinanciación, en algunos programas, del Fondo Social Europeo y del Fondo de Asilo, Migración e Integración."
642356,1173227,583264,a las ONG,28,37,,¿Para quienes son las subvenciones?,,"Las subvenciones concedidas a las ONG para la acogida y la integración de quienes conforman estos colectivos están financiadas con fondos que provienen de los presupuestos de la Secretaría General de Inmigración y Emigración, recibiendo cofinanciación, en algunos programas, del Fondo Social Europeo y del Fondo de Asilo, Migración e Int"
642357,1173227,583265, ONG,33,37,,¿Quien puede recibir las subenciones?,,"Las subvenciones concedidas a las ONG para la acogida y la integración de quienes conforman estos colectivos están financiadas con fondos que provienen de los presupuestos de la Secretaría General de Inmigración y Emigración, recibiendo cofinanciación, en algunos programas, del Fondo Social Europeo y del Fondo de Asilo, Migración e Int"
642359,1173228,583267,El Alto Comisionado de las Naciones Unidas para los Refugiados ,0,63,,¿Que significa ACNUR?,,"El Alto Comisionado de las Naciones Unidas para los Refugiados (ACNUR), organismo de las Naciones Unidas encargado de proteger a los refugiados y desplazados por persecuciones o conflictos, debe intervenir, de acuerdo con la legislación en vigor, en el procedimiento de concesión del derecho de asilo. En base a esta colaboración, el ACNUR recibe una subvención d"
642360,1173228,583268,proteger a los refugiados y desplazados por persecuciones o conflictos,118,188,,¿De qué se encarga ACNUR?,,"El Alto Comisionado de las Naciones Unidas para los Refugiados (ACNUR), organismo de las Naciones Unidas encargado de proteger a los refugiados y desplazados por persecuciones o conflictos, debe intervenir, de acuerdo con la legislación en vigor, en el procedimiento de concesión del derecho de asilo. En base a esta colaboración, el ACNUR recibe una subvención de la Dirección General de Migraciones."
642354,1173227,583262,"de la Secretaría General de Inmigración y Emigración, recibiendo cofinanciación, en algunos programas, del Fondo Social Europeo y del Fondo de Asilo, Migración e Integración.",172,346,,¿Donde provienen las subvenciones?,,"Las subvenciones concedidas a las ONG para la acogida y la integración de quienes conforman estos colectivos están financiadas con fondos que provienen de los presupuestos de la Secretaría General de Inmigración y Emigración, recibiendo cofinanciación, en algunos programas, del Fondo Social Europeo y del Fondo de Asilo, Migración e Integración."
642361,1173228,583269,proteger a los refugiados y desplazados por persecuciones o conflictos,118,188,,¿Que hace ACNUR?,,"El Alto Comisionado de las Naciones Unidas para los Refugiados (ACNUR), organismo de las Naciones Unidas encargado de proteger a los refugiados y desplazados por persecuciones o conflictos, debe intervenir, de acuerdo con la legislación en vigor, en el procedimiento de concesión del derecho de asilo. En base a esta colaboración, el ACNUR recibe una subvención de la Dirección General de Migraciones."
642362,1173228,583270,Dirección General de Migraciones,368,400,,¿De donde recibe las subvenciones ACNUR?,,"R), organismo de las Naciones Unidas encargado de proteger a los refugiados y desplazados por persecuciones o conflictos, debe intervenir, de acuerdo con la legislación en vigor, en el procedimiento de concesión del derecho de asilo. En base a esta colaboración, el ACNUR recibe una subvención de la Dirección General de Migraciones."
642363,1173229,583271,Centro de Acogida a Refugiados,0,30,,¿Que significa C.A.R?,,"Centro de Acogida a Refugiados (C.A.R.). Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria, así como otros servicios sociales encaminados a facilitar la convivencia e integrar en la comunidad a las personas que solicitan asilo en España u obtengan la condición"
642364,1173229,583272,Centro de Acogida a Refugiados,0,30,,¿Que significa CAR?,,"Centro de Acogida a Refugiados (C.A.R.). Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria, así como otros servicios sociales encaminados a facilitar la convivencia e integrar en la comunidad a las personas que solicitan asilo en España u obtengan la condición"
642365,1173229,583273," Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria",40,160,,¿Que es C.A.R?,,"Centro de Acogida a Refugiados (C.A.R.). Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria, así como otros servicios sociales encaminados a facilitar la convivencia e integrar en la comunidad a las personas que solicitan asilo en España u obtengan la condición de refugiado o desplazado en España y que carezcan de medios económicos para atender a sus necesidades y a las de su familia."
642366,1173229,583274,"Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria",41,160,,¿Que es CAR?,,"Centro de Acogida a Refugiados (C.A.R.). Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria, así como otros servicios sociales encaminados a facilitar la convivencia e integrar en la comunidad a las personas que solicitan asilo en España u obtengan la condición de refugiado o desplazado en España y que carezcan de medios económicos para atender a sus necesidades y a las de su familia."
642367,1173229,583275,España,360,366,,¿Donde pueden pedir asilo?,,"s públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria, así como otros servicios sociales encaminados a facilitar la convivencia e integrar en la comunidad a las personas que solicitan asilo en España u obtengan la condición de refugiado o desplazado en España y que carezcan de medios económicos para atender a sus necesidades y a las de su familia."
