answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
642370,1173230,583278,"Alojamiento y manutención temporal.
Información y asesoramiento sobre nueva situación.
Orientación para su incorporación al sistema educativo, sanitario y social.
Atención psicológica.
Atención social especializada y gestión de ayudas económicas complementarias.
Desarrollo de cursos para aprendizaje de la lengua y de habilidades sociales básicas.
Orientación e intermediación para la formación profesional e inserción laboral.
Actividades ocupacionales y de ocio y tiempo libre.
Actividades de sensibilización y de divulgación de la actuación del C.A.R",0,554,,¿Que servicios y prestaciones tienen C.A.R?,,"Alojamiento y manutención temporal.
Información y asesoramiento sobre nueva situación.
Orientación para su incorporación al sistema educativo, sanitario y social.
Atención psicológica.
Atención social especializada y gestión de ayudas económicas complementarias.
Desarrollo de cursos para aprendizaje de la lengua y de habilidades sociales básicas.
Orientación e intermediación para la formación profesional e inserción laboral.
Actividades ocupacionales y de ocio y tiempo libre.
Actividades de sensibilización y de divulgación de la actuación del C.A.R. dirigidas a la sociedad de acogida."
642371,1173230,583279,"Alojamiento y manutención temporal.
Información y asesoramiento sobre nueva situación.
Orientación para su incorporación al sistema educativo, sanitario y social.
Atención psicológica.
Atención social especializada y gestión de ayudas económicas complementarias.
Desarrollo de cursos para aprendizaje de la lengua y de habilidades sociales básicas.
Orientación e intermediación para la formación profesional e inserción laboral.
Actividades ocupacionales y de ocio y tiempo libre.
Actividades de sensibilización y de divulgación",0,528,,¿Que servicios y prestaciones tienen el Centro de Acogida a Refugiados?,,"Alojamiento y manutención temporal.
Información y asesoramiento sobre nueva situación.
Orientación para su incorporación al sistema educativo, sanitario y social.
Atención psicológica.
Atención social especializada y gestión de ayudas económicas complementarias.
Desarrollo de cursos para aprendizaje de la lengua y de habilidades sociales básicas.
Orientación e intermediación para la formación profesional e inserción laboral.
Actividades ocupacionales y de ocio y tiempo libre.
Actividades de sensibilización y de divulgación de la actuación del C.A.R. dirigidas a la sociedad de acogida."
642372,1173231,583280,"Haber solicitado o ser beneficiario de proteccion internacional en España.
Estar en posesión del documento pertinente que acredite su condición de solicitante o beneficiario de proteccion internacional del estatuto de apatrida o protección temporal en España.
Haber solicitado proteccion internacional y no ser admitida a trámite la solicitud,",188,531,,¿Como podria ser beneficiario de los centros de Acogida?,,"Podrán ser beneficiarios de los Centros de Acogida a Refugiados de la Dirección General de Inclusión y Atención Humanitaria, las personas que reúnan alguna de las siguientes condiciones:

Haber solicitado o ser beneficiario de proteccion internacional en España.
Estar en posesión del documento pertinente que acredite su condición de solicitante o beneficiario de proteccion internacional del estatuto de apatrida o protección temporal en España.
Haber solicitado proteccion internacional y no ser admitida a trámite la solicitud, cuando haya aceptado un Estado miembro la responsabilidad de examinar su solicitud de asilo en virtud del Reglamento (CE) 343/2003 del Consejo de 18 de febrero de 2003 por el que se establecen los criterios y mecanismos de determinación del Estado miembro responsable del examen de una solicitud de "
642373,1173231,583281,"Haber solicitado o ser beneficiario de proteccion internacional en España.
Estar en posesión del documento pertinente que acredite su condición de solicitante o beneficiario de proteccion internacional del estatuto de apatrida o protección temporal en España.
Haber solicitado proteccion internacional y no ser admitida a trámite ",188,518,,¿Como ser beneficiario?,,"Podrán ser beneficiarios de los Centros de Acogida a Refugiados de la Dirección General de Inclusión y Atención Humanitaria, las personas que reúnan alguna de las siguientes condiciones:

Haber solicitado o ser beneficiario de proteccion internacional en España.
Estar en posesión del documento pertinente que acredite su condición de solicitante o beneficiario de proteccion internacional del estatuto de apatrida o protección temporal en España.
Haber solicitado proteccion internacional y no ser admitida a trámite la solicitud, cuando haya aceptado un Estado miembro la responsabilidad de examinar su solicitud de asilo en virtud del Reglamento (CE) 343/2003 del Consejo de 18 de febrero de 2003 por el que se establecen los criterios y mecanismos de determinación del Estado miembro responsable del examen de una "
642374,1173231,583282,"Haber solicitado o ser beneficiario de proteccion internacional en España.
Estar en posesión del documento pertinente que acredite su condición de solicitante o beneficiario de proteccion internacional del estatuto de apatrida o protección temporal en España.
Haber solicitado proteccion internacional y no ser admitida a trámite la solicitud",188,530,,¿Que condición tienen que tener para ser beneficiarios?,,"Podrán ser beneficiarios de los Centros de Acogida a Refugiados de la Dirección General de Inclusión y Atención Humanitaria, las personas que reúnan alguna de las siguientes condiciones:

Haber solicitado o ser beneficiario de proteccion internacional en España.
Estar en posesión del documento pertinente que acredite su condición de solicitante o beneficiario de proteccion internacional del estatuto de apatrida o protección temporal en España.
Haber solicitado proteccion internacional y no ser admitida a trámite la solicitud, cuando haya aceptado un Estado miembro la responsabilidad de examinar su solicitud de asilo en virtud del Reglamento (CE) 343/2003 del Consejo de 18 de febrero de 2003 por el que se establecen los criterios y mecanismos de determinación del Estado miembro responsable del examen de una solicitud de"
642375,1173231,583283,eglamento (CE) 343/2003 del Consejo de 18 de febrero de 2003,639,699,,¿Que reglamento sigue?,,"citante o beneficiario de proteccion internacional del estatuto de apatrida o protección temporal en España.
Haber solicitado proteccion internacional y no ser admitida a trámite la solicitud, cuando haya aceptado un Estado miembro la responsabilidad de examinar su solicitud de asilo en virtud del Reglamento (CE) 343/2003 del Consejo de 18 de febrero de 2003 por el que se establecen los criterios y mecanismos de determinación del Estado miembro responsable del examen de una solicitud de asilo presentada en uno de los estados miembros por un nacional de un tercer país, durante el plazo previsto para gestionar el traslado al país que haya aceptado su tom"
642376,1173231,583284,"Carecer de trabajo o de medios económicos para atender sus necesidades y las de su familia.
No padecer enfermedades transmisibles o discapacidades fisicas o psíquicas que puedan alterar la normal convivencia en el centro.
Aceptación expresa de la normativa por la que se rige el centro.",1085,1371,,¿Los requsitos de CAR?,,"ro responsable del examen de una solicitud de asilo presentada en uno de los estados miembros por un nacional de un tercer país, durante el plazo previsto para gestionar el traslado al país que haya aceptado su toma a cargo.
En todos los supuestos les serán de aplicación los siguientes requisitos:

Carecer de trabajo o de medios económicos para atender sus necesidades y las de su familia.
No padecer enfermedades transmisibles o discapacidades fisicas o psíquicas que puedan alterar la normal convivencia en el centro.
Aceptación expresa de la normativa por la que se rige el centro."
642377,1173231,583285,"Carecer de trabajo o de medios económicos para atender sus necesidades y las de su familia.
No padecer enfermedades transmisibles o discapacidades fisicas o psíquicas que puedan alterar la normal convivencia en el centro.
Aceptación expresa de la normativa por la que se rige el centro",1085,1370,,¿Los requisitos del centro?,,"ro responsable del examen de una solicitud de asilo presentada en uno de los estados miembros por un nacional de un tercer país, durante el plazo previsto para gestionar el traslado al país que haya aceptado su toma a cargo.
En todos los supuestos les serán de aplicación los siguientes requisitos:

Carecer de trabajo o de medios económicos para atender sus necesidades y las de su familia.
No padecer enfermedades transmisibles o discapacidades fisicas o psíquicas que puedan alterar la normal convivencia en el centro.
Aceptación expresa de la normativa por la que se rige el centro."
642378,1173232,583286,seis meses,50,60,,¿Cunato tiempo dura la estancia?,,"La estancia en los centros tendrá una duración de seis meses, salvo que con anterioridad al transcurso de este período sea resuelto el expediente administrativo. En caso de resolución denegatoria, el beneficiario dispondrá de quince días para abandonar el centro.

Excepcionalmente, y por razones de necesidad, previo informe del equipo técnico la Dirección de"
642379,1173232,583287,seis meses,50,60,,¿Cunato tiempo puedo estar en el centro?,,"La estancia en los centros tendrá una duración de seis meses, salvo que con anterioridad al transcurso de este período sea resuelto el expediente administrativo. En caso de resolución denegatoria, el beneficiario dispondrá de quince días para abandonar el centro.

Excepcionalmente, y por razones de necesidad, previo informe del equipo técnico la Dirección de"
